Month,Day,Year,Species,Weight (Kg),Length (cm),Processing
1,3,2016,YFT,52,,GGT
1,3,2016,BET,55,,GGT
1,3,2016,BET,61,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,BET,50,,GGT
1,3,2016,BET,58,,GGT
1,3,2016,BET,34,,GGT
1,3,2016,BET,64,,GGT
1,3,2016,BET,52,,GGT
1,3,2016,BET,82,,GGT
1,3,2016,BET,40,,GGT
1,3,2016,BET,41,,GGT
1,3,2016,BET,54,,GGT
1,3,2016,BET,36,,GGT
1,3,2016,BET,38,,GGT
1,3,2016,BET,69,,GGT
1,3,2016,BET,58,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,YFT,36,,GGT
1,3,2016,BET,38,,GGT
1,3,2016,BET,59,,GGT
1,3,2016,BET,55,,GGT
1,3,2016,BET,36,,GGT
1,3,2016,BET,54,,GGT
1,3,2016,BET,40,,GGT
1,3,2016,BET,57,,GGT
1,3,2016,BET,66,,GGT
1,3,2016,BET,76,,GGT
1,3,2016,BET,59,,GGT
1,3,2016,BET,47,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,BET,44,,GGT
1,3,2016,BET,38,,GGT
1,3,2016,BET,37,,GGT
1,3,2016,BET,57,,GGT
1,3,2016,BET,33,,GGT
1,3,2016,BET,64,,GGT
1,3,2016,YFT,47,,GGT
1,3,2016,BET,44,,GGT
1,3,2016,BET,40,,GGT
1,3,2016,BET,45,,GGT
1,3,2016,BET,52,,GGT
1,3,2016,BET,36,,GGT
1,3,2016,YFT,48,,GGT
1,3,2016,BET,68,,GGT
1,3,2016,BET,77,,GGT
1,3,2016,BET,56,,GGT
1,3,2016,YFT,45,,GGT
1,3,2016,YFT,54,,GGT
1,3,2016,YFT,25,,GGT
1,3,2016,YFT,42,,GGT
1,3,2016,YFT,68,,GGT
1,3,2016,YFT,46,,GGT
1,3,2016,BET,62,,GGT
1,3,2016,BET,41,,GGT
1,3,2016,BET,54,,GGT
1,3,2016,BET,41,,GGT
1,3,2016,YFT,79,,GGT
1,3,2016,YFT,58,,GGT
1,3,2016,YFT,46,,GGT
1,3,2016,YFT,73,,GGT
1,3,2016,YFT,61,,GGT
1,3,2016,BET,33,,GGT
1,3,2016,BET,47,,GGT
1,3,2016,BET,56,,GGT
1,3,2016,BET,37,,GGT
1,3,2016,BET,58,,GGT
1,3,2016,BET,60,,GGT
1,3,2016,BET,31,,GGT
1,3,2016,BET,48,,GGT
1,3,2016,BET,37,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,BET,72,,GGT
1,3,2016,BET,62,,GGT
1,3,2016,BET,64,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,BET,35,,GGT
1,3,2016,BET,71,,GGT
1,3,2016,BET,45,,GGT
1,3,2016,BET,50,,GGT
1,3,2016,BET,63,,GGT
1,3,2016,YFT,51,,GGT
1,3,2016,BET,65,,GGT
1,3,2016,YFT,65,,GGT
1,3,2016,YFT,59,,GGT
1,3,2016,YFT,69,,GGT
1,3,2016,BET,44,,GGT
1,3,2016,YFT,50,,GGT
1,3,2016,BET,31,,GGT
1,3,2016,YFT,60,,GGT
1,3,2016,BET,99,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,BET,76,,GGT
1,3,2016,BET,77,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,BET,39,,GGT
1,3,2016,BET,55,,GGT
1,3,2016,BET,51,,GGT
1,3,2016,YFT,50,,GGT
1,3,2016,BET,36,,GGT
1,3,2016,BET,41,,GGT
1,3,2016,BET,56,,GGT
1,3,2016,BET,77,,GGT
1,3,2016,BET,59,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,BET,51,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,BET,37,,GGT
1,3,2016,BET,20,,GGT
1,3,2016,BET,52,,GGT
1,3,2016,BET,40,,GGT
1,3,2016,BET,60,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,YFT,58,,GGT
1,3,2016,YFT,53,,GGT
1,3,2016,YFT,47,,GGT
1,3,2016,YFT,53,,GGT
1,3,2016,BET,44,,GGT
1,3,2016,BET,24,,GGT
1,3,2016,BET,38,,GGT
1,3,2016,BET,56,,GGT
1,3,2016,BET,52,,GGT
1,3,2016,BET,47,,GGT
1,3,2016,BET,42,,GGT
1,3,2016,BET,67,,GGT
1,3,2016,BET,26,,GGT
1,3,2016,BET,37,,GGT
1,3,2016,BET,35,,GGT
1,3,2016,BET,32,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,YFT,71,,GGT
1,3,2016,YFT,55,,GGT
1,3,2016,BET,43,,GGT
1,3,2016,SBT,92,,GGT
1,3,2016,SBT,88,,GGT
1,3,2016,SBT,115,,GGT
1,3,2016,SBT,61,,GGT
1,3,2016,SBT,56,,GGT
1,3,2016,SBT,108,,GGT
1,3,2016,BET,56,,GGT
1,3,2016,YFT,42,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,BET,37,,GGT
1,3,2016,BET,36,,GGT
1,3,2016,BET,50,,GGT
1,3,2016,BET,23,,GGT
1,3,2016,BET,43,,GGT
1,3,2016,YFT,35,,GGT
1,3,2016,BET,31,,GGT
1,3,2016,BET,35,,GGT
1,3,2016,BET,46,,GGT
1,3,2016,SBT,90,,GGT
1,3,2016,SWO,43,,HDD
1,3,2016,BUM,187,,HDD
1,3,2016,BUM,87,,HDD
1,3,2016,SWO,30,,HDD
1,3,2016,SWO,51,,HDD
1,3,2016,BET,21,,GGT
1,3,2016,YFT,21,,GGT
1,3,2016,SBT,80,,GGT
1,3,2016,BET,54,,GGT
1,3,2016,BET,54,,GGT
1,3,2016,YFT,53,,GGT
1,3,2016,SWO,31,,HDD
1,3,2016,BET,56,,GGT
1,3,2016,BET,48,,GGT
1,3,2016,BET,48,,GGT
1,3,2016,BET,96,,GGT
1,3,2016,BET,78,,GGT
1,3,2016,YFT,63,,GGT
1,3,2016,SWO,48,,HDD
1,3,2016,BET,57,,GGT
1,3,2016,BET,50,,GGT
1,3,2016,SBT,71,,GGT
1,3,2016,YFT,40,,GGT
1,3,2016,BET,41,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,BET,82,,GGT
1,3,2016,YFT,69,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,YFT,71,,GGT
1,3,2016,BET,32,,GGT
1,3,2016,BET,21,,GGT
1,3,2016,BET,90,,GGT
1,3,2016,MLS,31,,HDD
1,3,2016,BUM,70,,HDD
1,3,2016,BET,32,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,BET,54,,GGT
1,3,2016,BET,49,,GGT
1,3,2016,SBT,73,,GGT
1,3,2016,YFT,74,,GGT
1,3,2016,YFT,47,,GGT
1,3,2016,BET,64,,GGT
1,3,2016,BET,67,,GGT
1,3,2016,YFT,36,,GGT
1,3,2016,BET,23,,GGT
1,3,2016,YFT,40,,GGT
1,3,2016,BET,53,,GGT
1,3,2016,BET,60,,GGT
1,5,2016,BET,53,,GGT
1,5,2016,BET,48,,GGT
1,5,2016,BET,30,,GGT
1,5,2016,BET,64,,GGT
1,5,2016,BET,44,,GGT
1,5,2016,YFT,39,,GGT
1,5,2016,YFT,69,,GGT
1,5,2016,BET,72,,GGT
1,5,2016,BET,23,,GGT
1,5,2016,BET,40,,GGT
1,5,2016,BET,49,,GGT
1,5,2016,YFT,27,,GGT
1,5,2016,BET,30,,GGT
1,5,2016,BET,36,,GGT
1,5,2016,BET,43,,GGT
1,5,2016,BET,30,,GGT
1,5,2016,BET,34,,GGT
1,5,2016,BET,46,,GGT
